"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0177028","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0174478","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0220241","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0102492","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00456341","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00943698","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00947207","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00837457","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Spatial Distribution Score","MeanState","global","score","1","0.970751","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Spatial Distribution Score","MeanState","above","score","1","0.981952","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Phase Shift","MeanState","global","scalar","months","0.959078","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Seasonal Cycle Score","MeanState","global","score","1","0.880204","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Phase Shift","MeanState","above","scalar","months","0.601909","1.0"
